shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4..N06R,40.867760,-73.897174,463,
4..N06R,40.870029,-73.895412,464,
4..N06R,40.870071,-73.895375,465,
4..N06R,40.870113,-73.895338,466,
4..N06R,40.870154,-73.895300,467,
4..N06R,40.870194,-73.895261,468,
4..N06R,40.870233,-73.895221,469,
4..N06R,40.870271,-73.895180,470,
4..N06R,40.870308,-73.895138,471,
4..N06R,40.870344,-73.895095,472,
4..N06R,40.870379,-73.895052,473,
4..N06R,40.870413,-73.895007,474,
4..N06R,40.870446,-73.894961,475,
4..N06R,40.870477,-73.894915,476,
4..N06R,40.870508,-73.894867,477,
4..N06R,40.870538,-73.894819,478,
4..N06R,40.870567,-73.894770,479,
4..N06R,40.871644,-73.892543,480,
4..N06R,40.871675,-73.892483,481,
4..N06R,40.871707,-73.892422,482,
4..N06R,40.871741,-73.892360,483,
4..N06R,40.871776,-73.892297,484,
4..N06R,40.871812,-73.892233,485,
4..N06R,40.871849,-73.892168,486,
4..N06R,40.871888,-73.892103,487,
4..N06R,40.871928,-73.892037,488,
4..N06R,40.871970,-73.891970,489,
4..N06R,40.872012,-73.891902,490,
4..N06R,40.872057,-73.891833,491,
4..N06R,40.872102,-73.891764,492,
4..N06R,40.872149,-73.891693,493,
4..N06R,40.872197,-73.891622,494,
4..N06R,40.872246,-73.891551,495,
4..N06R,40.873412,-73.890064,496,
4..N06R,40.874005,-73.889335,497,
4..N06R,40.874041,-73.889294,498,
4..N06R,40.874078,-73.889253,499,
4..N06R,40.874115,-73.889214,500,
4..N06R,40.874154,-73.889175,501,
4..N06R,40.874193,-73.889138,502,
4..N06R,40.874233,-73.889102,503,
4..N06R,40.874273,-73.889066,504,
4..N06R,40.874315,-73.889032,505,
4..N06R,40.874357,-73.888999,506,
4..N06R,40.874400,-73.888966,507,
4..N06R,40.874444,-73.888935,508,
4..N06R,40.874489,-73.888905,509,
4..N06R,40.874535,-73.888875,510,
4..N06R,40.874581,-73.888847,511,
4..N06R,40.874628,-73.888820,512,
4..N06R,40.876764,-73.887857,513,
4..N06R,40.876819,-73.887827,514,
4..N06R,40.876873,-73.887796,515,
4..N06R,40.876926,-73.887764,516,
4..N06R,40.876978,-73.887730,517,
4..N06R,40.877029,-73.887695,518,
4..N06R,40.877080,-73.887659,519,
4..N06R,40.877129,-73.887621,520,
4..N06R,40.877178,-73.887581,521,
4..N06R,40.877226,-73.887540,522,
4..N06R,40.877273,-73.887498,523,
4..N06R,40.877320,-73.887454,524,
4..N06R,40.877365,-73.887409,525,
4..N06R,40.877409,-73.887363,526,
4..N06R,40.877453,-73.887315,527,
4..N06R,40.877496,-73.887266,528,
4..N06R,40.879750,-73.884655,529,
4..N06R,40.882310,-73.881692,530,
4..N06R,40.882368,-73.881629,531,
4..N06R,40.882426,-73.881567,532,
4..N06R,40.882483,-73.881506,533,
4..N06R,40.882541,-73.881447,534,
4..N06R,40.882599,-73.881389,535,
4..N06R,40.882656,-73.881332,536,
4..N06R,40.882714,-73.881276,537,
4..N06R,40.882772,-73.881222,538,
4..N06R,40.882829,-73.881169,539,
4..N06R,40.882887,-73.881118,540,
4..N06R,40.882945,-73.881067,541,
4..N06R,40.883002,-73.881018,542,
4..N06R,40.883060,-73.880971,543,
4..N06R,40.883117,-73.880924,544,
4..N06R,40.883175,-73.880879,545,
4..N06R,40.886037,-73.878751,546,
